symbol,0,a,b,c,d,e,f,g,h,Latitude,Longitude
A,45.298838,46.076584999999994,45.907077,45.83728,46.066615000000006,46.375718,45.588002,45.639998999999996,45.560001,37.35416794,-121.95417020000001
AAL,48.580002,49.220001,49.470001,48.689999,48.48,48.610001000000004,47.669998,47.25,46.689999,32.72527695,-97.32055664
AAP,173.760621,175.57,173.509995,170.389999,170.889999,171.83999599999999,170.419998,170.279999,169.119995,37.27083206,-79.94166565
AAPL,116.639999,116.949997,117.059998,116.290001,116.519997,117.260002,116.760002,116.730003,115.82,37.32305527,-122.03111270000001
ABBV,61.59848,61.539078,60.836172,61.044073,61.71728100000001,61.875682,61.647980000000004,62.103384,61.994482999999995,41.84999847,-87.65000153
ABT,38.093934000000004,37.944896,37.994578000000004,38.044256,38.173419,38.352264,37.974706,38.064128000000004,38.163484999999994,41.84999847,-87.65000153
ACN,123.650002,124.099998,117.900002,117.790001,117.480003,117.550003,116.610001,117.010002,117.129997,53.3330574,-6.248888968999999
ADBE,105.290001,105.769997,105.510002,104.720001,105.019997,104.980003,103.769997,103.68,102.949997,37.33944321,-121.8938904
ADM,46.07,46.220001,46.130001,45.18,45.150002,45.650002,45.34,45.360001000000004,45.650002,34.60583496,-86.98332977
ADM,46.07,46.220001,46.130001,45.18,45.150002,45.650002,45.34,45.360001000000004,45.650002,39.84027863,-88.95471954
ADS,230.960007,231.33999599999999,233.67999300000002,231.66000400000001,233.63999900000002,233.710007,228.57000699999998,229.25,228.5,33.01972198,-96.6986084
ADSK,75.699997,76.010002,75.629997,74.58000200000001,76.0,75.980003,75.019997,74.980003,74.010002,37.97360992,-122.52999879999999
AEP,62.939999,63.209998999999996,62.799999,63.240002000000004,63.169998,63.130001,62.389998999999996,63.279999,62.959998999999996,32.4608345,-84.98777771
AEP,62.939999,63.209998999999996,62.799999,63.240002000000004,63.169998,63.130001,62.389998999999996,63.279999,62.959998999999996,39.96111298,-82.99888611
AES,11.84,11.94,11.98,11.78,11.73,11.86,11.64,11.7,11.62,32.73555374,-97.10778046
AES,11.84,11.94,11.98,11.78,11.73,11.86,11.64,11.7,11.62,38.89027786,-77.08444214
AET,123.848133,124.37705600000001,123.099655,124.436939,125.694377,125.97381499999999,124.32716200000002,124.19742099999999,123.758319,41.76361084,-72.68555450000001
AFL,69.790001,69.860001,70.300003,70.379997,70.150002,70.400002,69.800003,69.83000200000001,69.599998,32.4608345,-84.98777771
AFL,69.790001,69.860001,70.300003,70.379997,70.150002,70.400002,69.800003,69.83000200000001,69.599998,39.96111298,-82.99888611
AGN,192.550003,191.330002,193.990005,193.990005,199.080002,200.490005,204.059998,207.21000700000002,210.00999500000003,53.3330574,-6.248888968999999
AIG,66.540001,66.599998,66.660004,66.230003,66.410004,66.699997,65.879997,65.5,65.309998,40.71416855,-74.0063858
AIV,44.57,44.84,43.970001,44.549999,44.740002000000004,44.310001,44.23,44.700001,45.450001,39.73916626,-104.984169
AIZ,92.410004,92.300003,92.32,93.190002,93.279999,93.739998,93.190002,92.66999799999999,92.860001,40.71416855,-74.0063858
AKAM,67.760002,68.699997,67.870003,67.370003,67.629997,68.089996,67.269997,67.040001,66.68,42.375,-71.10610962
ALB,89.0,89.339996,89.279999,88.41999799999999,88.82,89.010002,86.58000200000001,87.07,86.08000200000001,30.450555800000004,-91.15444183
ALK,90.33000200000001,91.559998,91.120003,89.099998,90.43,90.540001,88.690002,88.529999,88.730003,47.60638809,-122.3308334
ALLE,64.910004,65.33000200000001,65.550003,65.25,65.389999,65.540001,64.800003,64.769997,64.0,53.3330574,-6.248888968999999
AMAT,32.439999,32.610001000000004,32.580002,33.009997999999996,32.900002,33.330002,32.900002,32.66,32.27,37.35416794,-121.95417020000001
AME,49.139998999999996,49.470001,49.299999,49.419998,49.450001,49.709998999999996,48.75,48.66,48.599998,41.85055542,-87.79360962
AMGN,147.740005,147.220001,146.169998,146.360001,147.550003,148.360001,147.669998,147.779999,146.21000700000002,34.17055511,-118.8366699
AMP,111.410004,113.480003,112.910004,111.760002,111.93,112.33000200000001,110.82,109.91999799999999,110.940002,44.97999954,-93.26361084
