	geometry	name
0	POINT (12.45338654497177 41.90328217996012)	Vatican City
1	POINT (12.44177015780014 43.936095834768)	San Marino
2	POINT (9.516669472907267 47.13372377429357)	Vaduz
3	POINT (6.130002806227083 49.61166037912108)	Luxembourg
4	POINT (158.1499743237623 6.916643696007725)	Palikir
5	POINT (171.3800001757465 7.103004311216239)	Majuro
6	POINT (179.2166470940289 -8.516651999041073)	Funafuti
7	POINT (134.6265484669922 7.487396172977981)	Melekeok
8	POINT (7.406913173465057 43.73964568785249)	Monaco
9	POINT (173.0175708285494 1.338187505624603)	Tarawa
10	POINT (43.24024409869332 -11.70415769566847)	Moroni
11	POINT (1.51648596050552 42.5000014435459)	Andorra
12	POINT (-61.51703088544974 10.65199708957726)	Port-of-Spain
13	POINT (30.05858591906411 -1.95164421006325)	Kigali
14	POINT (31.13333451205636 -26.31665077840921)	Mbabane
15	POINT (31.58002559278731 4.829975198277964)	Juba
16	POINT (14.51496903347413 46.0552883087945)	Ljubljana
17	POINT (17.11698075223461 48.15001832996171)	Bratislava
18	POINT (51.5329678942993 25.28655600890659)	Doha
19	POINT (19.26630692411823 42.46597251288171)	Podgorica
20	POINT (7.466975462482424 46.91668275866772)	Bern
21	POINT (21.16598425159987 42.66670961411938)	Pristina
22	POINT (-61.38701298180337 15.30101564428332)	Roseau
23	POINT (43.14800166705226 11.59501446425548)	Djibouti
24	POINT (-16.5917014892126 13.45387646031594)	Banjul
25	POINT (21.4334614651425 42.00000612290586)	Skopje
26	POINT (-59.61652673505159 13.10200258275114)	Bridgetown
27	POINT (29.3600060615284 -3.376087220374643)	Bujumbura
28	POINT (-61.21206242027932 13.14827882786841)	Kingstown
29	POINT (-61.00000818036955 14.00197348933034)	Castries
30	POINT (-62.71700931969934 17.30203045548939)	Basseterre
31	POINT (57.49999385460973 -20.16663857135325)	Port Louis
32	POINT (-61.74164322607476 12.05263340172041)	Saint George's
33	POINT (50.58305171591019 26.23613629048594)	Manama
34	POINT (-61.85003381513866 17.11803651831411)	Saint John's
35	POINT (-56.17299814703597 -34.85609570759073)	Montevideo
36	POINT (1.22081126074562 6.133882930268385)	Lome
37	POINT (10.17967809921203 36.80277813623144)	Tunis
38	POINT (54.36659338259199 24.46668357237991)	Abu Dhabi
39	POINT (58.38329911177465 37.94999493311099)	Ashgabat
40	POINT (28.28138173611427 -15.41469840933593)	Lusaka
41	POINT (31.04276357206282 -17.8158438357778)	Harare
42	POINT (125.5794559317051 -8.559388408546454)	Dili
43	POINT (168.3166405835686 -17.73335040402583)	Port Vila
44	POINT (-87.21947519794151 14.1039907590764)	Tegucigalpa
45	POINT (-58.16702864748061 6.801973692752028)	Georgetown
46	POINT (-21.95001448717954 64.15002361973922)	Reykjavík
47	POINT (-72.33798044690553 18.54297045473237)	Port-au-Prince
48	POINT (32.58137766712105 0.318604813383331)	Kampala
49	POINT (-55.16703088542437 5.835030129922586)	Paramaribo
50	POINT (2.114710186530374 13.51865181050647)	Niamey
