symbol;Latitude;Longitude
A;37,35416794;-121,9541702
AAL;32,72527695;-97,32055664
AAP;37,27083206;-79,94166565
AAPL;37,32305527;-122,0311127
ABBV;41,84999847;-87,65000153
ABT;41,84999847;-87,65000153
ACN;53,3330574;-6,248888969
ADBE;37,33944321;-121,8938904
ADM;34,60583496;-86,98332977
ADM;39,84027863;-88,95471954
ADS;33,01972198;-96,6986084
ADSK;37,97360992;-122,5299988
AEP;32,4608345;-84,98777771
AEP;39,96111298;-82,99888611
AES;32,73555374;-97,10778046
AES;38,89027786;-77,08444214
AET;41,76361084;-72,6855545
AFL;32,4608345;-84,98777771
AFL;39,96111298;-82,99888611
AGN;53,3330574;-6,248888969
AIG;40,71416855;-74,0063858
AIV;39,73916626;-104,984169
AIZ;40,71416855;-74,0063858
AKAM;42,375;-71,10610962
ALB;30,4505558;-91,15444183
ALK;47,60638809;-122,3308334
ALLE;53,3330574;-6,248888969
AMAT;37,35416794;-121,9541702
AME;41,85055542;-87,79360962
AMGN;34,17055511;-118,8366699
AMP;44,97999954;-93,26361084
AMT;42,35833359;-71,06027985
AMZN;47,60638809;-122,3308334
AN;26,12194443;-80,14360809
ANTM;39,76833344;-86,15805817
AON;51,51412582;-0,093689002
APA;29,7630558;-95,36305237
APC;30,15777779;-95,48916626
APD;40,60833359;-75,49055481
ARNC;40,71416855;-74,0063858
ATVI;34,01944351;-118,4902802
AVB;32,73555374;-97,10778046
AVB;38,89027786;-77,08444214
AVGO;37,33944321;-121,8938904
AVY;33,53861237;-112,1852798
AVY;34,14250183;-118,2541656
AXP;40,71416855;-74,0063858
AYI;33,74888992;-84,38805389
AZO;35,14944458;-90,04888916
BA;41,84999847;-87,65000153
BAC;35,22694397;-80,84333038
BBBY;40,69749832;-74,26361084
BBT;36,09972382;-80,2444458
BEN;37,56305695;-122,3244476
BF-B;38,25416565;-85,75944519
BHI;29,7630558;-95,36305237
BIIB;26,10000038;-80,40000153
BK;40,71416855;-74,0063858
BLK;40,71416855;-74,0063858
BMY;40,71416855;-74,0063858
BRK-B;41,25860977;-95,9375
BXP;42,35833359;-71,06027985
C;40,71416855;-74,0063858
CAG;41,25860977;-95,9375
CAT;40,69361115;-89,58889008
CAT;33,58055496;-112,2366638
CB;47,3666687;8,550000191
CBG;34,05222321;-118,242775
CBS;40,71416855;-74,0063858
CCI;29,7630558;-95,36305237
CCL;25,77388954;-80,1938858
CERN;39,09972382;-94,57833099
CERN;39,11416626;-94,62722015
